boisson,Ifruit jus,60,boisson152aa457-27e6-11ed-a2c1-e43a6e47b0a1.jpg
boisson,Ramy mielle Plast,90,boisson9beaa702-2abf-11ee-944a-f0d5bf610994.jpg
boisson,Coca 30 cl,70,boissonf4ca63a9-327f-11ed-adc3-e43a6e47b0a1.jpg
boisson,Fanta 33 cl,100,boisson9ddd33e6-27e6-11ed-a5fd-e43a6e47b0a1.jpg
boisson,Mozaya zeste,60,boissonbd8f2663-d49f-11ed-8a4a-90e8683f8c3e.jpg
boisson,Coca Cola mini,70,boisson5aeda0c0-9597-11ed-bc6c-e43a6e47b0a1.jpg
boisson,Jufri,70,boisson4efa8232-27e7-11ed-814a-e43a6e47b0a1.jpg
boisson,Pepsi 330 ml,60,boissonbd60fa46-27e7-11ed-837a-e43a6e47b0a1.jpg
boisson,Mirinda 330 ml,60,boissonc3d6aa2c-27e7-11ed-917e-e43a6e47b0a1.jpg
boisson,Amazon 33 cl,60,boissondde4cc90-27e7-11ed-bf3a-e43a6e47b0a1.jpg
boisson,Fanta 30 cl,70,boissonf5c7514b-27e7-11ed-84e1-e43a6e47b0a1.jpg
boisson,Ifruit Fraise Lait 2,70,boisson1f7c8ca4-27e8-11ed-aa21-e43a6e47b0a1.jpg
boisson,Izem Energy,90,boisson54d20dbf-1806-11ee-b105-90e8683f8c3f.jpg
boisson,Mozaya Nature 30 cl,50,boisson8aae7a3c-27eb-11ed-84ed-e43a6e47b0a1.jpg
boisson,Ngaous 33 cl,70,boissonf69435bc-27e8-11ed-b11c-e43a6e47b0a1.jpg
boisson,Orangina 33 cl,60,boisson37a8dec6-27e9-11ed-8c65-e43a6e47b0a1.jpg
boisson,Ramy 25 cl,60,boisson6359b174-27e9-11ed-836a-e43a6e47b0a1.jpg
boisson,Ramy mielle,90,boisson1a8b3bd5-1806-11ee-8677-90e8683f8c3f.jpg
boisson,Schweppes,100,boisson31e6296f-27eb-11ed-83a9-e43a6e47b0a1.jpg
boisson,Sprite 30 cl,70,boisson4b83265f-27ea-11ed-8d2c-e43a6e47b0a1.jpg
boisson,Tchina 25 cl,60,boisson6cc034f7-27eb-11ed-90a0-e43a6e47b0a1.jpg
boisson,Toudja,60,boisson60d15f7a-27eb-11ed-a16d-e43a6e47b0a1.jpg
boisson,coca canet,100,boisson9ce7967d-3119-11ed-9526-e43a6e47b0a1.jpg
boisson,Jupiter,50,boisson3aed02e5-3719-11ed-83b3-90e8683f8c3e.jpg
boisson,Ramy Milky,70,boissona7db0ca2-36b1-11ed-a51c-90e8683f8c3e.jpg
boisson,"Ovital 1,5",50,eaub9fd9ab8-bf61-11ed-9e00-90e8683f8c3f.jpg
boisson,"ovital 0,5",30,eaud428789b-bf61-11ed-b0b1-90e8683f8c3f.jpg
boisson,Ramy Energy,90,eaubc686bfa-2abf-11ee-8bfa-f0d5bf610994.jpg
boisson,Star Energy 30 cl,90,boisson2786bfed-1806-11ee-8f11-90e8683f8c3f.jpg
boisson,Tnt,90,boisson7bc95643-1806-11ee-90dc-90e8683f8c3f.jpg
pizza,Marguerite,250,pizza26561554552.jpg
pizza,Maison,250,1204_s.jpg
pizza,Végétarienne,250,1202_s.jpg
pizza,Del Duca,300,pizza456454654686.png
pizza,Royale,350,pizza26561554552.jpg
pizza,Capresienne,450,1235245.jpg
pizza,Thon,550,images.jpg
pizza,Cosanostra,600,854121.jpg
pizza,Indienne,700,1202_s.jpg
pizza,Bacon,800,2412010_s.jpg
pizza,Poulet,300,pizza7.JPG
pizza,Méditerranéenne,750,10321.jpg
pizza,Géante,1000,pizza6.JPG
sandwich,Frite,150,fritecornet69569.JPG
sandwich,Frite 2,200,frite15665.jpg
sandwich,Special,250,sandwich4656.jpg
sandwich,Fromage,300,sandwich1.jpg
sandwich,Chiken,350,sandwich.jpg
sandwich,Burger 1,150,hamburger3.JPG
sandwich,Burger 2,200,hamburger.JPG
sandwich,Burger Special,250,hamburger2.JPG
sandwich,Kebbab 1,350,kebbab2.JPG
sandwich,Kebbab 2,400,kebbab.JPG
tacos,Mini,350,tacos556625566.jpg
tacos,Poulet,350,gourmand.png
tacos,Viande Hachee,400,tacos5635566.jpg
tacos,Dinde Fumée ,500,tacos5612565123.jpg
tacos,Froumage,400,images2.jpg
plats,Frite,300,frite.JPG
plats,Escalope grillée,800,plat556669.jpg
plats,Escalope 3 fromage,950,plat645645698552.jpg
plats,Cordon bleu,1000,plat6566.jpg
plats,Poulet pané,800,plat645645646.jpg
plats,Nugget,850,plat5568969.jpg
plats,Steak hache,1100,plat4564665.png
plats,Foie a la parisienne,1400,platkklfef5624562.jpg
